uid,date,week,stage,model,dataset,condition,seed,n_seeds,hyperparams,metric,within_score,cross_score,baseline_score,status,artifact,notes
016,2026-07-14,W12,alignment,na,"FLEURS(en_us,de_de,es_419)",MMS forced alignment,na,0,script=src/precompute_alignments.py;aligner=torchaudio MMS_FA;with_star=False;max_samples=100,na,na,na,na,success,artifacts/alignment_cache.pkl,The change that turned the project around.
017,2026-07-14,W12,probing,base,"FLEURS(en_us,de_de,es_419)",forced_alignment / EN->others,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=3;split_grouping=utterance,macro_f1,0.774,0.656,0.303,success,results/20260721_22064045,"Same models, same probes and the same layer grid as the W11 run — only the frame-to-phoneme mapping changed — and within-language scores roughly doubled (base mean 0."
018,2026-07-14,W12,probing,xlsr53,"FLEURS(en_us,de_de,es_419)",forced_alignment / EN->others,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=3;split_grouping=utterance,macro_f1,0.808,0.645,0.303,success,results/20260721_22064045,"Same models, same probes and the same layer grid as the W11 run — only the frame-to-phoneme mapping changed — and within-language scores roughly doubled (base mean 0."
019,2026-07-14,W12,probing,xlsr300m,"FLEURS(en_us,de_de,es_419)",forced_alignment / EN->others,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=3;split_grouping=utterance,macro_f1,0.811,0.659,0.303,success,results/20260721_22064045,"Same models, same probes and the same layer grid as the W11 run — only the frame-to-phoneme mapping changed — and within-language scores roughly doubled (base mean 0."
020,2026-07-20,W13,probing,all,"FLEURS(en_us,de_de,es_419)",forced_alignment / full layer grid,0,1,n_probe=100;layer_stride=1;n_repeats=5;split_grouping=utterance,na,na,na,na,failed,slurm/logs/probing_1754119.err,CANCELLED AT 2026-07-21T14:19:12 DUE TO TIME LIMIT after a full 24 h.
021,2026-07-21,W13,probing,all,"FLEURS(en_us,de_de,es_419)",forced_alignment / full layer grid,0,1,n_probe=100;layer_stride=1;n_repeats=5;split_grouping=utterance,na,na,na,na,failed,slurm/logs/probing_1756456.err,"CANCELLED AT 2026-07-21T22:05:44 DUE TO SIGNAL Terminated, ~4 h in."
022,2026-07-21,W13,probing,base,"FLEURS(en_us,de_de,es_419)",forced_alignment / all_ordered_pairs,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=2;n_repeats=5;test_size=0.2;n_boot=200;split_grouping=utterance,macro_f1,0.759,0.617,0.301,success,results/20260722_03320117,First run on the parallel worker architecture: three per-model jobs plus a merge gated on --dependency=afterok.
023,2026-07-21,W13,probing,xlsr53,"FLEURS(en_us,de_de,es_419)",forced_alignment / all_ordered_pairs,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=2;n_repeats=5;test_size=0.2;n_boot=200;split_grouping=utterance,macro_f1,0.81,0.664,0.301,success,results/20260722_03320117,First run on the parallel worker architecture: three per-model jobs plus a merge gated on --dependency=afterok.
024,2026-07-21,W13,probing,xlsr300m,"FLEURS(en_us,de_de,es_419)",forced_alignment / all_ordered_pairs,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=2;n_repeats=5;test_size=0.2;n_boot=200;split_grouping=utterance,macro_f1,0.81,0.668,0.301,success,results/20260722_03320117,First run on the parallel worker architecture: three per-model jobs plus a merge gated on --dependency=afterok.
025,2026-07-23,W13,probing,base,"FLEURS(en_us,de_de,es_419)",forced_alignment / all_ordered_pairs / paired k-fold gap test,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=2;n_repeats=5;test_size=0.2;n_boot=200;kfold=5;kfold_repeats=3;split_grouping=utterance;ci=percentile 2.5/97.5,macro_f1,0.759,0.617,0.301,success,results/20260723_02061011,FINAL RUN — every number in report/report.
026,2026-07-23,W13,probing,xlsr53,"FLEURS(en_us,de_de,es_419)",forced_alignment / all_ordered_pairs / paired k-fold gap test,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=2;n_repeats=5;test_size=0.2;n_boot=200;kfold=5;kfold_repeats=3;split_grouping=utterance;ci=percentile 2.5/97.5,macro_f1,0.81,0.664,0.301,success,results/20260723_02061011,FINAL RUN — every number in report/report.
027,2026-07-23,W13,probing,xlsr300m,"FLEURS(en_us,de_de,es_419)",forced_alignment / all_ordered_pairs / paired k-fold gap test,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=2;n_repeats=5;test_size=0.2;n_boot=200;kfold=5;kfold_repeats=3;split_grouping=utterance;ci=percentile 2.5/97.5,macro_f1,0.81,0.668,0.301,success,results/20260723_02061011,FINAL RUN — every number in report/report.
